Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
1810010H24RIK,CRISPLD2,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,CRLF3,1.0,0.0,1.0
1810010H24RIK,CTSH,0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,CTSL,-0.5370613587357513,0.026213040165845948,0.5370613587357513
1810010H24RIK,CTSS,0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,CXCL15,-1.0,0.0,1.0
1810010H24RIK,ECM2,0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,EGFL7,1.0,0.0,1.0
1810010H24RIK,EGFLAM,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,EMID1,1.0,0.0,1.0
1810010H24RIK,F13B,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,FAM132A,1.0,0.0,1.0
1810010H24RIK,FGF1,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,FGF2,-0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,FREM1,-0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,FSTL1,0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,GPC4,-0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,HCFC2,1.0,0.0,1.0
1810010H24RIK,HTRA4,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,HYAL2,1.0,0.0,1.0
1810010H24RIK,IGFBP2,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,IGFBP5,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,IGFBP6,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,IL16,-1.0,0.0,1.0
1810010H24RIK,INHBE,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,KNG2,1.0,0.0,1.0
1810010H24RIK,LAMB3,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,LAMC2,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,LGALS9,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,LGALSL,1.0,0.0,1.0
1810010H24RIK,LOX,-0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,LOXL1,-0.5370613587357513,0.026213040165845948,0.5370613587357513
1810010H24RIK,LTBP2,-0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,MBL1,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,MFAP1,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,MFAP5,-0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,MMP19,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,MMP8,1.0,0.0,1.0
1810010H24RIK,MMP9,0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,MMRN1,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,NDNF,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,NID2;NID-2,-1.0,0.0,1.0
1810010H24RIK,NTN1,0.5485298130021853,0.022606111780429924,0.5485298130021853
